Service Description,Service Classification
"The Foursquare API provides location based experiences with diverse information about venues, users, photos, and check-ins. The API supports real time access to places, Snap-to-Place that assigns users to specific locations, and Geo-tag. Additionally, Foursquare allows developers to build audience segments for analysis and measurement. JSON is the preferred response format.",Social
"The Google AdSense API is ideal for developers whose users create their own content through blogging, web publishing, forum/wiki/community creation, or any other application where substantial web content is generated. Using the AdSense API, developers can let users sign up for AdSense through their site or program, generate detailed performance reports for users, and choose how the AdSense revenue is shared with our revenue sharing program. Additionally users can create accounts to store publisher website information, then generate ad code snippets and filter out unwanted ads. A previous SOAP version has been deprecated in favor of REST with responses formatted as JSON.",Advertising
"Geonames is a geographical database with web services that let users extract useful information about different places, such as weather, timezone and post codes. The GeoNames geographical database covers all countries and contains over eight million placenames that are available for download free of charge. Users can edit, correct and add new names using a wiki interface. Geonames provides a suite of 36 Webservices covering the following categories:Fulltext searchPlace HierarchyWikipediaPostal CodesReverse GeocodingEarthquakesWeather The APIs use RESTful protocol and responses vary in format between XML, JSON, RDF, CSV, TXT, RSS and KML.",Reference
"The unofficial Wikipedia API. Because Wikipedia is built using MediaWiki, which in turn supports an API, Wikipedia does as well. This provides developers code-level access to the entire Wikipedia reference. The goal of this API is to provide direct, high-level access to the data contained in the MediaWiki databases. Client programs can use the API to login, get data, and post changes. The API supports thin web-based JavaScript clients, such as Navigation popups or LiveRC, end-user applications (such as vandal fighter), and can be accessed by another web site (tool server's utilities). The API uses RESTful calls and supports a wide variety of formats including XML, JSON, PHP, YAML and others.",Reference
"Bing Web Search API provides an experience similar to Bing.com/search by returning search results that Bing determines are relevant to a user's query. The results include Web pages and may also include images, videos, and more. Free trial keys are available here: https://azure.microsoft.com/en-us/try/cognitive-services/?api=bing-web-search-api.",Search
"LinkedIn is the world's largest business social networking hub. Launched in 2003, LinkedIn has millions of users and is implemented in over 200 countries. One purpose of the site is to allow registered users to maintain a list of contact details of people with whom they have some level of relationship, called Connections. Users can invite anyone (whether a site user or not) to become a connection. The LinkedIn API is a RESTful platform that provides a simple, consistent representation of people, companies, jobs, and the interactions and relationships between them. Our query language lets you read data in XML and JSON at the granularity and aggregation that you choose. Use OAuth 1.0a to authorize users and begin making REST API calls using any programming language.The API is access is restricted to authorized developers.",Social
"Per provider, this API will be shutting down on March 31, 2016 BOSS (Build your Own Search Service) is Yahoo!'s open search web services platform. The goal of BOSS is simple: open up Yahoo!'s search infrastructure and enable third parties to build revolutionary search products leveraging their own data, content, technology, social graph, or other assets. Developers, start-ups, and large Internet companies can use BOSS to build and launch web-scale search products that utilize the entire Yahoo! Search index. BOSS gives you access to Yahoo!'s investments in crawling and indexing, ranking and relevancy algorithms, and powerful infrastructure. By combining your assets and ideas with our search technology assets, BOSS is a platform for the next generation of search innovation. The API uses a RESTful interface and responses are formatted in XML and JSON.",Search
"The Yahoo! Local Search APIs give users access to a comprehensive database of information and content in Yahoo! Local ranging from business information to user comments to ratings. Data includes business address and phone, category, rating, distance, URL and traffic alerts. Yahoo! Local makes a great addition to any mashup, bringing in location-based relevancy and the additional context of what real people have experienced in these places. Version 3 of Yahoo! Local Search adds even more features! Users can now request individual business records by using the Yahoo! Local listing id. Yahoo! supports search categories to help users narrow their queries. Finally, results now return the first few lines of the last user review for each listing. The API uses a RESTful protocol and responses are formatted in either XML, JSON and PHP.",Search
"From documentation: At Facebook's core is the social graph; people and the connections they have to everything they care about. The Graph API presents a simple, consistent view of the Facebook social graph, uniformly representing objects in the graph (e.g., people, photos, events, and pages) and the connections between them (e.g., friend relationships, shared content, and photo tags). Public information can be accessed without a developer key/application key, but is required for private data access. The Facebook Graph API has undergone numerous versioning updates. Launched in November 2017 and scheduled to last until at least November 2019, the newly integrated features of version 2.11 include: updates to the pages API allowing users to know what is happening to private replies, posts an commenting. Updates to group/videos permissions requiring a user access token to read videos from a group, sunsetting of app links host. All these changes are accessible in the documentation of the API.",Social
The Google Earth Engine API allows developers to run algorithms on georeferenced imagery and vectors stored on Google's infrastructure. The Google Earth Engine API provides a library of functions which may be applied to imagery for display and analysis. Earth Engine's public data catalog contains a large amount of publicly available imagery.,Mapping
"The Google AdWords API is the main revenue source for Google. AdWords offers pay-per-click advertising, cost-per-thousand advertising, and site-targeted advertising for text. The Google AdWords API lets developers build applications that interact directly with the AdWords platform. With these applications, advertisers and third parties can more efficiently and creatively manage their large or complex AdWords accounts and campaigns. With the API, developers can automatically generate keywords, ad text, and destination URLs, integrate AdWords data with an inventory system to manage campaigns based on stock and develop additional tools and applications to help you manage accounts. The AdWords API SOAP interface is supported by all popular programming languages, including Java, PHP, Python, .NET, Perl, and Ruby.",Advertising
"The Commission Detail Service is a REST-based API that enables advertisers and publishers to access real-time commission and item-detail data. Advertisers and publishers that wish to receive commission reporting updates in near real-time or to request new commission data on a regular basis can use this API to create in-house tools that access real-time commission data from the CJ network. Developers may search by any number of criteria including price, currency, country, serviceable area and UPC. A SOAP API is also available but will eventually be deprecated.",eCommerce
"Geocoder.us is a public service providing free geocoding of addresses and intersections in the United States. Using the service you can find the latitude & longitude of any US address and much more. Geocoder.us offers four different ways to access our web services: an XML-RPC interface, a SOAP interface, a REST interface that returns an RDF/XML document, and a REST interface that returns a plain text comma separated values result. The methods and return values are equivalent across all three interfaces.",Mapping
"PayPal offers online payment solutions and has more than 153 million customers worldwide. The PayPal API makes powerful functionality available to developers by exposing various features of the PayPal platform. Functionality includes but is not limited to invoice management, transaction processing and account management.",Payments
"The service provides online tools for business organizations to manage travel and expense reporting and reimbursement. Integrated travel booking functions combine with expense reporting within a single platform. The API allows integration with applications of customer companies, partner service providers, or independent third-party developers including mobile app developers. API methods support submission and tracking of travel requests and booking of transportation and lodging, either for individuals or for groups completing the same travel. Methods also support creating, updating, and submitting expense reports as part of a reimbursement process.",Enterprise
"The Google Custom Search Engine API is a RESTful API that allows developer to get web or image search results data in JSON or Atom format. With the API, developers can add web search and/or site search capabilities to their website, blog or collection of websites.",Search
"The Google Geocoding API is a webservice for the Google Maps API. The Geocoding API provides a direct way to access a geocoder via an HTTP request, though it must be used in conjunction with Google Maps. Additionally, the service allows you to perform the converse operation (turning coordinates into addresses); this process is known as reverse geocoding. Also, you can choose to limit your search to certain bounded areas (Viewport Biasing) or regions (Region Biasing).",Mapping
"Bing API Version 2.0 enables developers to embed a flexible and powerful search engine as a custom search component in thier sites and applications. Bing API offers open, flexible options for building or enhancing your site or applications. With the API users can search for web content, images, stories and more. Users can also monetize their applications with advertisements. It uses a RESTful protocol with results formatted either in XML or JSON and also provides support for SOAP protocol.",Search
The Term Extraction API allows users to perform content analysis by providing a list of significant words or phrases extracted from a larger content. It is one of the technologies used in Yahoo! Search. It uses a RESTful API and responses are formatted in XML.,Search
Oodle makes it easy to use online classifieds. We bring together loads of listings from hundreds of local and national sources and help you find exactly what youre looking for,eCommerce
"NationBuilder is an open platform for users to create online communities centered around issues relevant to them. Users can create community organization websites, access a people database, and use communication tools such as email, text messaging and social media.The NationBuilder API helps developers to create community organizing-driven applications by integrating various service endpoints within third-party applications. These endpoints can be information on people, campaign data, donation data, calendar information, event data, and other calls. The API uses REST calls and returns JSON.",Social
"The Microsoft Bing Maps API is the re-branded name for the Microsoft Virtual Earth API and Virtual Earth SDK. It features an AJAX map control. Use Bing Maps to build maps which can include routes and traffic info. Gives developers the ability to code the controls, shapes, and layers of the maps, and can summon the birds-eye, 3D, and aerial imagery. For commercial applications there is a SOAP-based Web Service also provides access to the Bing maps and geospatial features.",Mapping
"Let Vimeo take care of all your video needs. Their API handles uploading, transcoding, hosting and playback of any video type. Embed the videos in your own website, or share them with the large community of filmmakers that call Vimeo home. The API uses RESTful calls and responses are formatted in JSON",Video
Etsy is an online marketplace for buying and selling handmade things. The Etsy API lets you develop applications built on this fast growing e-commerce platform.,eCommerce
"Use the Tumblr API to read Tumblr data or to write a Tumblr post. Unlike blogs, tumblelogs aren't designed like a newspaper column. If blogs are journals, tumblelogs are scrapbooks. Blogs are great, but they can be a lot of work. And they're really built to handle longer-form text posts. Tumblelogs, on the other hand, let you easily and quickly post and share anything you find or create, such as photos, videos, audio, quotes, and links, or text.",Social
"The Shopzilla, Inc. Catalog API provides access to the Shopzilla, Inc. inventory of catalogued products, merchant offers, and merchant ratings & reviews content through a query-based RESTful web service, responses formatted in XML or JSON|P. Managed through the Shopzilla Publisher Program, a CPC affiliate marketing program, publishers are able to monetize using this API. Users of this API are able to choose between two versions, each providing logic native to its corresponding Shopzilla, Inc. property: Bizrate.com or Beso.com. Bizrate API: Provides access to the entire Shopzilla, Inc. offer universe, exposing content from 8,000+ merchants. You would use this version to create a full comparison shopping site. Beso API: Provides the opportunity to create a style-based experience with a curated set of offers focused in soft goods categories. You would use this version to create a fashion-oriented shopping site. Both APIs provide access to the merchant ratings and reviews collected through the Bizrate Insights platform. International? APIs also available for the United Kingdom, Germany, and France.",eCommerce
"Facebook Social Plugins make a user's friend's social activity available via API. You can see what your friends have liked, commented on or shared on sites across the web. Social Plugins are a basic method of accessing data on Facebook and are specifically designed so none of your data is shared with the sites on which they appear. All plugins use the Facebook JavaScript SDK.",Social
The MySpace Developer Platform (MDP) allows developers to create applications that interact with MySpace members and their social data. With MDP you will be able to create compelling new products that integrate directly into MySpace pages and get exposure to millions of people around the world.,Social
"Google Plus is a service to share links, photos and other content. The Google Plus API allows developers to access publicly-available Google Plus content, including user information and publicly shared items.",Social
The Google Static Maps API lets you embed a Google Maps image on your webpage without requiring JavaScript or any dynamic page loading. The Google Static Map service creates your map based on URL parameters sent through a standard HTTP request and returns the map as an image you can display on your web page.,Mapping
"OpenStreetMap is the free wiki world map, an open volunteer-driven initiative to collaboratively create a map of the world, and release the map data under a free and open license. There are actually many different APIs in and around the OpenStreetMap ecosystem. Many developers searching for an API, may actually be looking for an JavaScript web mapping library. There are a few of these to choose from including free and open source options such as LeafletJS. These work by fetching map tiles from a tile server, and there are several of these to choose from too (the main OpenStreetMap server is not the only option) Some developers may be looking for data downloads. You can download the entire planet's worth of map data from planet.openstreetmap.org, and keep in syc with community map updates, using the diff downloads. Or you can download smaller more manageable country-sized, or city-size extracts of OpenStreetMap data. We do have a thing called the OpenStreetMap API. This provides read and write operations on the raw map data of the OpenStreetMap database. It is actually primarily for OpenStreetMap editing software, and although any developers can create a new editor tool, this is not a small undertaking, and should be carried out with careful consultation with the OpenStreetMap community. In other words... this thing called the OpenStreetMap API is probably not what you're looking for! You can use the OpenStreetMap API to download small chunks of map data, but for this purpose it's also worth checking out some other options. In particular the OverpassAPI offers some flexible querying by tags etc, which may be useful for your app. Whether you're wrangling raw geo-data or presenting a web-map mashup, the possibilities provided by OpenStreetMap, and by third parties within the OpenStreetMap ecosystem, offer endless potential for geo map hacking fun! If you need help with development, join the osm-dev mailing list, or other OpenStreetMap contact channels",Mapping
"The Google Places Web Service is a service that returns information about a place: an establishment, a geographic location, or prominent point of interest using an HTTP request. Place requests specify locations as latitude/longitude coordinates. Two basic Place requests are available: a Place Search request and a Place Details request. Generally, a Place Search request is used to return candidate matches, while a Place Details request returns more specific information about a Place.",Mapping
"Zazzle provides a simple URL linkover-based API that allows any third party to automatically generate a customized product with dynamic images and text. The Zazzle Create-a-Product API can be used to automatically generate over 200 different types of customized products: t-shirts, mugs, cards, postage, and posters.",eCommerce
"Tropo makes it simple to build phone, SMS and Instant messaging applications. You use the web technologies you already know and Tropo's powerful cloud API to bring real-time communications to your apps. If you can create a web site, you can make and receive phone calls, use voice recognition, interact over SMS, IM, or Twitter. You can even create conference calls and transcribe calls. There's no need to learn new languages, wrestle with VoIP software, or learn about telephony. Host your code with us, or use your existing web server in the language of your choice. Coverage: usa, canada, australia, austria, belgium, brazil, bulgaria, croatia, Cyprus, CzechRepublic, Denmark, Estonia, Finland, France, Germany, Greece, HongKong, Hungary, Ireland, Israel, Italy, Japan, Latvia, Lithuania, Luxembourg, Malta, Mexico, Netherlands, NewZealand, Norway, Panama, Peru, Poland, Portugal, Romania, Slovakia, Slovenia, Spain, Sweden, Switzerland, and the uk.",Telephony
"No public API documentation is available for this API, but access to documentation is availabnle when you register to the affiliate program (free). Contact affiliate@hotelscombined.com to apply for access (approval required). World best hotel metasearch API. Search over 30 booking and hotel chain sites at once with one API. Earn commissions on every quality referral.",Travel
The Sunlight Congress API is shutting down on Sept. 30. Please us the ProPublica Congress API as a replacement for the Sunlight API.,Government
"Traffic Web Services from Yahoo! enable you to get traffic alert information from a given location. Use the Traffic REST API to customize your request with many parameters including indicating locations based on city state, zip code, or a combination of any of these things, latitude-longitude, whether to include a map image, or a search radius in miles. Traffic Web Services are also available through a [[http://developer.yahoo.net/traffic/rss/V1/index.html dynamic RSS feed]].",Transportation
"Helps sellers automate listings, orders, payments, reports, and more. By exchanging data, sellers can integrate Amazon marketplace into their current applications and workflow.",eCommerce
"The Mailchimp API syncs campaign stats and subscribers information between MailChimp and a database. It helps to download a list of unsubscribes to clean inhouse lists, build client portals, and pull campaign stats from MailChimp. Available in REST architecture with JSON and XML formats, in addition to Serialized PHP and XML-RPC.",Email
"OpenLayers is a pure JavaScript library for displaying map data in most modern web browsers, with no server-side dependencies. OpenLayers implements a (still-developing) JavaScript API for building rich web-based geographic applications, similar to the Google Maps and MSN Virtual Earth APIs, with one important difference OpenLayers is Free Software, developed for and by the Open Source software community. Furthermore, OpenLayers implements industry-standard methods for geographic data access, such as the OpenGIS Consortium's Web Mapping Service (WMS) and Web Feature Service (WFS) protocols. Under the hood, OpenLayers is written in object-oriented JavaScript, using Prototype.js and components from the Rico library. The OpenLayers code base already has hundreds of unit tests, via the Test.AnotherWay framework.",Mapping
"SendGrid's cloud-based email helps keep emails out of spam folders, provides a cloud service that scales with email demands, and provides email analytics to track opens and clicks. SendGrid has a Web API that allows customers to retrieve information about their account such as statistics, bounces, spam reports, unsubscribes, and other information. In addition, the Web API allows customers to create sub-accounts and control the settings of these accounts for an OEM setup. With the SendGrid API, developers can:Get real-time web hooks for events such as bounces, clicks, and unsubscribesSend multiple emails and customize pluginAccess parsed incoming emails with attachmentWrite plugins to alter emails or deliver to other mediumManage subscriptions for resellers and subusers",Email
"MapLarge offers an API to embed interactive maps on a website, blog or news story. MapLarge is the creator of some of the largest Google Maps implementations on the Internet. MapLarge uses patent pending methods to create simple map visualizations from complex data. With the API users can geocode upto 2,000 records daily for free. Datasets mapped with the geocoder can be mapped on top of Google Maps, Bing, ESRI or Open Street Maps. The API uses RESTful protocol.",Mapping
"The Google Elevation web service provides you a simple interface to query locations on the earth for elevation data. Additionally, you may request sampled elevation data along paths, allowing you to calculate elevation changes along routes. The Elevation service provides elevation data for all locations on the surface of the earth, including depth locations on the ocean floor (which return negative values). In those cases where Google does not possess exact elevation measurements at the precise location you request, the service will interpolate and return an averaged value using the four nearest locations.",Mapping
"Use Shopify's robust ecommerce APIs to create apps for our 500,000 merchants. Over 35 endpoints, detailed SDKs, tutorials and access to dedicated API and developer support.",eCommerce
"Use the Google Book Search Data API to get and modify Book Search content via feeds. Submit full-text searches for books and get book information, ratings, and reviews. Optionally get individual users' library collections and public reviews. Submit authenticated requests to create and modify library collections, ratings, labels, reviews, and more.",Reference
"The ArcGIS JavaScript API is a lightweight way to embed your GIS maps and tasks in Web applications. For example, you can: Display an interactive map of your own data; execute a GIS model on the server and display the results; display your data on an ArcGIS Online base map; search for features or attributes in your GIS data and display the results; and search for addresses and display the results. To deploy applications built with this API, you just need to have an ArcGIS Server available that you can access through a URL. ESRI has provided several sample servers that you can use as you practice writing JavaScript applications.",Mapping
Google Gmail now supports the standard IMAP and SMTP protocols for accessing and sending e-mail messages. The Gmail IMAP and SMTP servers have been extended to support authorization via the industry-standard OAuth protocol. This allows third party applications to access a user's email account with their permission.,Email
"Best Buy's Products API provides full product information for over 1M current and historical products, including pricing, availability, specifications, descriptions, and images.",eCommerce
"The OpenSecrets API provides access to the data displayed on OpenSecrets.org. OpenSecrets performs research to track money in U.S. politics and its effect on elections and public policy. Use the API to access a politician's top contributors, personal financial disclosures for a politician, and more.",Government
"this service will make a wealth of data available to the mash-up community in the creation of rich consumer sites. The initial dataset will include the full CNET catalog of technology products and software titles. This is the same dataset that drives the highly trafficked sites of CNET Reviews, Shopper.com and Download.com. Over time, the API will add news articles, community content, blog posts and full product reviews. The API is designed for easy data discovery and integration. The interface is REST-based, supporting both XML and JSON response formats. It has undergone extensive performance optimization, in order to ensure rapid response times. To simplify query creation, a tool called the Dashboard is available that allows the user to interactively select data sets to include in the response stream.",eCommerce
The Alexa Web Information Service makes Alexa's repository of information about the traffic and structure of the web available to developers.,Search
"Hoiio is a global communication service seeking to allow people around the world to communicate via telephone or SMS by routing through Hoiio service. The Hoiio Voice API provides powerful APIs to make calls and handle voice responses (IVR). All these services are built on top of Hoiio's cloud infrastructure, so your app automatically scales as needed. Hoiio also provides virtual numbers for receiving inbound calls and free TTS services. No hardware is needed from the developer. It is a pay-per-use model, with zero setup fee.",Telephony
"Magento is a feature-rich, professional open-source eCommerce solution that offers merchants complete flexibility and control over the look, content, and functionality of its online store. The Magento Core API gives users access to functionality such as export/import of customer/customer addresses, retrieve countries and regions and more. The API supports both SOAP and XML RPC protocols. The API is permission based and allows access to the Customer, Catalog and Order modules of Magento.",eCommerce
"The CityGrid network APIs give developers access to premium local content including user reviews, editorial content, merchant messages & more, across 75K neighborhoods nationwide. CityGrid Media is an online media company that connects web and mobile publishers with local advertising organizations by linking them through CityGrid, its local content and advertising network. Currently CityGrid offers the following APIs: Places APIProvides functionality for information on local businesses, including search, detail, user content submission, and predictive text. Offers APIProvides coupons and special offers from businesses based on geographical location and category Reviews APIDisplays customer reviews based on listing IDs for certain geographic/category attributes All APIs have been instrumented with impression tracking feeding our new beta reporting dashboard.",eCommerce
"GovTrack.us tracks the U.S. Congress and is a reference for legislation, votes, Members of Congress, congressional districts, and the congressional record. The database that powers the site is also made freely available, and several APIs are available. APIs are URLs on GovTrack that serve XML rather than HTML. They are intended to be called by applications to retrieve data dynamically.",Government
"Google Checkout is a checkout process that you integrate with your website, enabling your customers to buy from you quickly and securely, using a single username and password. Once they do, you can use Google Checkout to charge their credit cards, process their orders, and receive payment in your bank account.",eCommerce
The Yahoo! Maps Map Image API allows you to get a URL pointing to a graphic of a map generated according to the parameters you specify.,Mapping
"The service provides ability to incorporate SMS and MMS text and media messaging functions to handle messaging traffic to AT&T subscribers and those of other U.S. providers. It exposes subscriber mobile phone numbers and allows specification of message body and sender. Applications can dispatch messages for delivery to individuals or lists of up to 10 recipients. API methods support submission of recipient mobile number and message text up to 160 characters with ISO-8859-1 formatting. Methods also support sending MMS media messages either larger than the SMS limit or including media attachments in a variety of formats. The API can also handle replies, either to the specific sender or to all recipients.",Messaging
"Pinterest calls itself a virtual pinboard, allowing users to select photos from web pages to share with their friends. This process, called pinning, helps users collect ideas, recipes, inspiration or anything that can be found in a photo on a web page. The Pinterest API provides developers access to an authenticated user's pinboards and pins. The API provides detailed user data, as well as the home feed for a user, pins, likes, following, followers and the ability to unfollow. Developers can also access information about specific boards and pins, including creating boards, adding pins, categories and adding/removing likes. The API allows businesses to integrate with Pinterest's social media platform in an effort engage with customers. With the APIs, developers can access a site's top repins, most recent pins, related pins, most clicked through pins and pins resulting from specific search terms. The API makes its data available via JSON only, with requests also wrapped as JSON. Though the official documentation has been removed, we've included a cache of the page, as the API still appears to be supported.",Social
Mapbox is a suite of open source mapping tools. This API can be used to create interactive maps using a wide range of file formats and databases. It also allows users to host their maps so that they can be embedded on webpages and shared with a wider audience. All maps created using Mapbox are compatible with Android and iOS devices.,Mapping
"Groupon features a daily deal on the best stuff to do, see, eat, and buy in a variety of cities across the United States. Groupon gets discounts you won't find anywhere else through the power of group buying. The goal of Groupon API is to allow applications to directly interact with Groupon via a REST API.",eCommerce
"The Forvo API allows users to integrate the functionality of Forvo into their websites or applications. Forvo is the largest pronunciation guide in the world, the place where you will find millions of words pronounced in their original languages. Ask for that word or name, and another user will pronounce it for you. You can also help others by recording your pronunciations in your own language. Currently the API allows users to read or listen to word pronounciations with future functionality to include search, languages and standard pronounciations. Possible uses include adding pronunciations for your dictionary or creating a better Google Translate with real human pronunciations. This RESTful API returns responses in either XML, JSON or JS-tag format.",Reference
"The Google OpenID API lets third-party web sites and applications let visitors sign in using their Google user accounts. The OpenID standard allows users to nor have to set up separate login accounts for different web sites, and conversely, frees web site developers from the task of managing login information and security measures. OpenID achieves this goal by providing a framework in which users can establish an account with an OpenID provider, such as Google, and use that account to sign into any web site that accepts OpenIDs. This page describes how to enable a web site or application to accept a Google user account for federated login.",Security
"GitHub is a repository of public open source and private business code. Is is a fast, efficient, distributed version control system ideal for the collaborative development of software. Use it to fork projects, send pull requests, monitor development.",Tools
"The uClassify API allows you to classify text. You might use it to create a spam filter, categorize web pages, automate e-mail support, detect languages, classify a batch of blog posts, and more. uClassify.com was formed to share classifier technology with the masses. Classifiers are usually popular at colleges or companies, so uClassify.com is intended to help spread the word to more people. For a definition of a classifier, see the About page at uClassify.com.",Tools
"CrunchBase is a product of TechCrunch and is a directory of technology companies, people, and investment profiles especially for companies involved in Web 2.0. The read-only API allows for retrieving all information that is available from the database, with some search criteria, and it uses JSON for the output formats. It is not necessary to have a developer account or an API key, and there are no current restrictions on the number of requests.",Reference
"With the release of the COLOURlovers API, you can now access almost 1 million named colors and more than 325,000 color palettes for your creative projects and applications. Creating a theme editor and want to give your users some color theme options? Who knows what amazingly creative stuff people will come up with.",Tools
Note: This is in private beta as of March 2008. Fire Eagle is the secure and stylish way to share your location with sites and services online while giving you unprecedented control over your data and privacy. We're here to make the whole web respond to your location and help you to discover more about the world around you.,Social
The Related Suggestion service provides suggestions for queries related to the submitted query.,Search
"MapQuest Platform Services provides businesses and developers with an industry-leading platform that includes the developer tools, resources, and industry expertise for building rich, engaging online mapping solutions for wireless, web, and desktop applications. Several APIs and Web Services are available. APIs include JavaScript, Flash, Mobile Flash, Android, and iOS. Web Services, which can be accessed from a variety of environments, include Directions, Geocoding, Search, Static Maps, Long URL, and Traffic.",Mapping
"Yahoo! Travel is also launching API access to trip planner data through a REST-like interface. With the Yahoo! Travel Trip Plan APIs you can search for trip plans by Yahoo! ID or by search query, or retrieve a specific trip plan by ID. The Yahoo! Travel Trip Plan APIs have been designed to operate just like the Yahoo! Search APIs, so if you've already written code for Yahoo! Search you can start using Travel almost immediately with only minor modifications. And just like Yahoo! Search, the Yahoo! Travel APIs support both XML and JSON output.",Travel
